fix_time_utc,fix_ret_1s_bp,realized_volatility_5s_bp,realized_volatility_10s_bp,realized_volatility_20s_bp,realized_volatility_5s_pct,realized_volatility_10s_pct,realized_volatility_20s_pct,realized_volatility_5s_ann_pct,realized_volatility_10s_ann_pct,realized_volatility_20s_ann_pct,z5,z10,z20,zmax,spike_flag,reversal_2s,suspicious_flag,hour_utc,dow,is_weekend,volatility_quartile,volatility_decile
2026-04-07 12:20:00+00:00,-1.953921845684384,0.6113309031313928,0.6379265139242577,0.662671247152349,0.0061133090313139,0.0063792651392425,0.0066267124715234,34.330462450163616,35.82399011740045,37.21357819576351,3.916343389554157,3.140698227782328,2.9788100509091446,3.140698227782328,False,False,False,12,Tuesday,False,Q4 High,D8
2026-04-07 12:50:00+00:00,0.998874290011802,0.0010356981123908,0.3158732943992041,0.2233576085758265,1.035698112390817e-05,0.003158732943992,0.0022335760857582,0.0581616191411417,17.738472269003957,12.543076024610336,99.88742900116324,3.478488807048024,4.695689621678521,4.695689621678521,True,True,True,12,Tuesday,False,Q3 Med-High,D6
2026-04-07 13:00:00+00:00,1.1550361122467774,0.0012233269515838,0.405307007277927,0.2922585148543384,1.223326951583816e-05,0.0040530700727792,0.0029225851485433,0.0686982774148992,22.76079439607924,16.412338912615038,115.5328543319212,2.483228918259056,3.6491486314542856,3.6491486314542856,False,True,False,13,Tuesday,False,Q3 Med-High,D7
2026-04-07 13:05:00+00:00,0.0,0.1083048998986319,0.1806128564840166,0.4328440093112452,0.0010830489989863,0.0018061285648401,0.0043284400931124,6.082069923331804,10.142662273051576,24.307187698712145,0.4505786002861859,0.5986005062835406,0.0180591154552425,0.5986005062835406,False,False,False,13,Tuesday,False,Q2 Med-Low,D5
2026-04-07 13:10:00+00:00,0.0014581194920908,0.8024891286557101,0.5675095439504428,0.4211670586994869,0.0080248912865571,0.0056750954395044,0.0042116705869948,45.0653202003402,31.8695897572067,23.651446082418907,0.4494846205410742,0.3190824232251731,0.2964921125946532,0.3190824232251731,False,True,False,13,Tuesday,False,Q3 Med-High,D8
2026-04-07 13:15:00+00:00,0.0,0.3276604982227155,3.668438279321382,2.6013843113108166,0.0032766049822271,0.0366843827932138,0.0260138431131081,18.4004053664193,206.0082059550612,146.08573844451328,0.4438747005239525,0.2936232818925809,0.2895760573857622,0.2936232818925809,False,False,False,13,Tuesday,False,Q4 High,D10
2026-04-07 13:20:00+00:00,-0.0014593851992626,0.0010319411708225,0.0008284144892592,0.0976529494367902,1.0319411708225084e-05,8.284144892592249e-06,0.0009765294943679,0.0579506408628024,0.0465212086793079,5.483889161524867,0.145938519929915,0.1605323719225202,0.3721061198937044,0.3721061198937044,False,True,False,13,Tuesday,False,Q1 Low,D2
2026-04-07 13:25:00+00:00,-1.9710736969426708,0.0012214490189898,0.0010772167875344,0.0010019845854932,1.2214490189898196e-05,1.0772167875344596e-05,1.0019845854932815e-05,0.0685928184988328,0.0604931801839392,0.0562683712073469,197.1365679105128,197.1219688023902,197.1146692483289,197.1219688023902,True,False,False,13,Tuesday,False,Q2 Med-Low,D3
2026-04-07 13:30:00+00:00,5.897627864802695,0.0393643932352391,0.0277783813588279,0.0196340271979971,0.0003936439323523,0.0002777838135882,0.0001963402719799,2.2105831995628686,1.559948422827568,1.1025865533930983,149.38365568426627,211.9998404142557,300.15849934859324,300.15849934859324,True,False,False,13,Tuesday,False,Q2 Med-Low,D4
2026-04-07 13:35:00+00:00,-4.30096781328211,0.1322792548027617,0.0977699593741113,0.5968559604488431,0.0013227925480276,0.0009776995937411,0.0059685596044884,7.428395925480966,5.4904600795643805,33.51759420861697,31.9065989536299,43.57809234760578,6.7758888939114605,43.57809234760578,True,True,True,13,Tuesday,False,Q2 Med-Low,D4
2026-04-07 13:40:00+00:00,-1.5426257875593588,0.3803716602216126,0.3205472762343628,0.85292291188125,0.0038037166022161,0.0032054727623436,0.0085292291188125,21.36050203164333,18.00094870698991,47.89752628116376,3.60740112115928,4.343159230524844,1.9061813301280948,4.343159230524844,True,False,False,13,Tuesday,False,Q3 Med-High,D6
2026-04-07 13:45:00+00:00,-1.2307158296345655,0.5231252036186491,0.5955333164447673,0.7608293744350996,0.0052312520361864,0.0059553331644476,0.0076082937443509,29.377101775115545,33.44331859113342,42.725836590681546,2.3537408319949917,2.038566525478391,2.0450947034303746,2.0450947034303746,False,False,False,13,Tuesday,False,Q3 Med-High,D8
2026-04-07 13:50:00+00:00,3.426016381760345,0.0010354592420314,0.4237254521640596,0.330550177429254,1.035459242031428e-05,0.0042372545216405,0.0033055017742925,0.0581482049167643,23.79511758719376,18.56268085909428,342.60163817603774,8.007357763926942,10.090563293978878,10.090563293978878,True,False,False,13,Tuesday,False,Q3 Med-High,D7
2026-04-07 13:55:00+00:00,-0.0014611437661451,0.7317075627700945,0.6637618162122829,0.5106976638256843,0.0073170756277009,0.0066376181621228,0.0051069766382568,41.09044525560403,37.27482119848035,28.6792093799742,1.1928054488319797,0.6728687345227559,0.4388427128718798,0.6728687345227559,False,False,False,13,Tuesday,False,Q4 High,D8
2026-04-07 14:00:00+00:00,1.1064578828545175,0.6351894770420506,0.4823288455844317,0.5054526343317246,0.0063518947704205,0.0048232884558443,0.0050545263433172,35.670286547978364,27.0861038386083,28.38466466258784,2.4248275615853663,2.8466322544339,2.7018421714892744,2.8466322544339,False,False,False,14,Tuesday,False,Q3 Med-High,D7
2026-04-07 14:05:00+00:00,0.0,0.4285884086991574,0.4702034975978137,0.5198697414895077,0.0042858840869915,0.0047020349759781,0.005198697414895,24.068206262851746,26.40518160546497,29.19428503902393,0.4480694643803543,0.1564317911350372,0.0999639312421813,0.1564317911350372,False,False,False,14,Tuesday,False,Q3 Med-High,D7
2026-04-07 14:10:00+00:00,1.676857484597352,0.2626475866617101,0.6988602420675024,0.7280237868118139,0.0026264758666171,0.006988602420675,0.0072802378681181,14.74948029836136,39.2458407963944,40.88357573279278,5.648279803020393,1.509510661361037,2.076253391309483,2.076253391309483,False,False,False,14,Tuesday,False,Q4 High,D8
2026-04-07 14:15:00+00:00,-0.0014729329053186,0.0014729329050973,0.0010868253291234,0.4292819056380115,1.472932905097306e-05,1.0868253291234071e-05,0.0042928190563801,0.0827153797248579,0.0610327663140212,24.1071509170426,0.1472932905134373,0.1620226195712613,0.1195692599330651,0.1620226195712613,False,True,False,14,Tuesday,False,Q2 Med-Low,D3
2026-04-07 14:20:00+00:00,1.3556914378638043,0.1399421731625351,0.2594940242855912,0.6501253718957316,0.0013994217316253,0.0025949402428559,0.0065012537189573,7.858721841709556,14.572385938853197,36.50904044510252,10.452014090310724,5.430508489254719,1.662863742410719,5.430508489254719,True,False,False,14,Tuesday,False,Q2 Med-Low,D5
2026-04-07 14:25:00+00:00,0.0,0.2408060781771007,1.0793832870497977,0.7850459327987405,0.002408060781771,0.0107938328704979,0.0078504593279874,13.522928388348312,60.61484413038565,44.08576399385503,0.5744643730726038,0.4154230904893301,0.3718762088112186,0.4154230904893301,False,False,False,14,Tuesday,False,Q4 High,D10
