volatility_decile,n,avg_realized_volatility_10s_ann_pct,min_realized_volatility_10s_ann_pct,max_realized_volatility_10s_ann_pct,spike_pct,suspicious_pct
D1,159,0.03609793787589414,2.2357663380078357e-05,0.0446502704595938,16.352201257861633,6.289308176100629
D2,158,0.051054018234956096,0.0446791138439672,0.0528500417282821,12.658227848101266,4.430379746835443
D3,159,0.060661196358460664,0.0528865197129861,0.0693268140334423,22.0125786163522,6.289308176100629
D4,158,5.057556162102003,0.0708878199236509,9.22852277154892,22.78481012658228,3.79746835443038
D5,159,12.524251295481491,9.246080620937832,15.703499417618133,11.320754716981133,1.8867924528301887
D6,158,18.717463856874815,15.84069860107043,21.40640721423001,12.025316455696203,2.5316455696202533
D7,158,25.08637256072621,21.4428739162503,29.287496430002676,10.126582278481013,2.5316455696202533
D8,159,34.2128034216988,29.31371367342847,39.51421883627565,7.547169811320755,4.40251572327044
D9,158,48.82333024076309,39.56576898956308,60.5475079442637,5.69620253164557,1.2658227848101267
D10,159,99.20470826177518,60.61484413038565,308.79941356117723,3.1446540880503147,0.628930817610063
