band,n,spike_pct,suspicious_pct
<1%,554,13.898916967509026,3.429602888086643
1-5%,49,10.204081632653061,2.0408163265306123
5-7%,42,7.142857142857142,0.0
7-15%,194,10.824742268041238,4.123711340206185
15-24%,230,18.695652173913043,6.956521739130435
>24%,516,9.108527131782946,1.937984496124031
