fix_time_utc,fix_ret_1s_bp,realized_volatility_5s_bp,realized_volatility_10s_bp,realized_volatility_20s_bp,realized_volatility_5s_pct,realized_volatility_10s_pct,realized_volatility_20s_pct,realized_volatility_5s_ann_pct,realized_volatility_10s_ann_pct,realized_volatility_20s_ann_pct,z5,z10,z20,zmax,spike_flag,reversal_2s,suspicious_flag,hour_utc,dow,is_weekend
2026-04-07 12:20:00+00:00,-1.9539218456843837,0.6113309031313928,0.6379265139242577,0.662671247152349,0.006113309031313928,0.006379265139242577,0.00662671247152349,34.330462450163616,35.82399011740045,37.21357819576351,3.916343389554157,3.1406982277823277,2.9788100509091446,3.1406982277823277,False,False,False,12,Tuesday,False
2026-04-07 12:50:00+00:00,0.9988742900118021,0.001035698112390817,0.31587329439920414,0.22335760857582657,1.035698112390817e-05,0.0031587329439920413,0.0022335760857582656,0.05816161914114174,17.738472269003957,12.543076024610336,99.88742900116323,3.478488807048024,4.695689621678521,4.695689621678521,True,True,True,12,Tuesday,False
2026-04-07 13:00:00+00:00,1.1550361122467774,0.001223326951583816,0.405307007277927,0.29225851485433846,1.2233269515838161e-05,0.00405307007277927,0.0029225851485433843,0.06869827741489924,22.760794396079238,16.412338912615038,115.5328543319212,2.483228918259056,3.6491486314542856,3.6491486314542856,False,True,False,13,Tuesday,False
2026-04-07 13:05:00+00:00,0.0,0.10830489989863193,0.18061285648401665,0.4328440093112452,0.0010830489989863193,0.0018061285648401666,0.004328440093112452,6.082069923331804,10.142662273051576,24.307187698712145,0.45057860028618596,0.5986005062835406,0.01805911545524255,0.5986005062835406,False,False,False,13,Tuesday,False
2026-04-07 13:10:00+00:00,0.0014581194920908513,0.8024891286557101,0.5675095439504428,0.42116705869948695,0.008024891286557102,0.005675095439504429,0.004211670586994869,45.0653202003402,31.8695897572067,23.651446082418907,0.44948462054107424,0.31908242322517316,0.29649211259465325,0.31908242322517316,False,True,False,13,Tuesday,False
2026-04-07 13:15:00+00:00,0.0,0.3276604982227155,3.668438279321382,2.6013843113108166,0.003276604982227155,0.03668438279321382,0.026013843113108167,18.4004053664193,206.0082059550612,146.08573844451328,0.4438747005239525,0.2936232818925809,0.2895760573857622,0.2936232818925809,False,False,False,13,Tuesday,False
2026-04-07 13:20:00+00:00,-0.0014593851992626891,0.0010319411708225082,0.0008284144892592249,0.09765294943679022,1.0319411708225084e-05,8.284144892592249e-06,0.0009765294943679022,0.057950640862802424,0.04652120867930791,5.483889161524867,0.145938519929915,0.1605323719225202,0.37210611989370446,0.37210611989370446,False,True,False,13,Tuesday,False
2026-04-07 13:25:00+00:00,-1.9710736969426708,0.0012214490189898196,0.0010772167875344595,0.0010019845854932815,1.2214490189898196e-05,1.0772167875344595e-05,1.0019845854932815e-05,0.06859281849883284,0.060493180183939226,0.056268371207346936,197.13656791051278,197.1219688023902,197.11466924832894,197.1219688023902,True,False,False,13,Tuesday,False
2026-04-07 13:30:00+00:00,5.897627864802695,0.03936439323523915,0.02777838135882798,0.019634027197997152,0.0003936439323523915,0.0002777838135882798,0.0001963402719799715,2.2105831995628686,1.559948422827568,1.1025865533930983,149.38365568426627,211.99984041425571,300.15849934859324,300.15849934859324,True,False,False,13,Tuesday,False
2026-04-07 13:35:00+00:00,-4.30096781328211,0.13227925480276173,0.09776995937411133,0.5968559604488431,0.0013227925480276174,0.0009776995937411134,0.0059685596044884315,7.428395925480966,5.4904600795643805,33.51759420861697,31.9065989536299,43.57809234760578,6.7758888939114605,43.57809234760578,True,True,True,13,Tuesday,False
2026-04-07 13:40:00+00:00,-1.5426257875593588,0.3803716602216126,0.32054727623436285,0.85292291188125,0.0038037166022161263,0.0032054727623436283,0.0085292291188125,21.360502031643332,18.00094870698991,47.89752628116376,3.6074011211592802,4.343159230524844,1.9061813301280948,4.343159230524844,True,False,False,13,Tuesday,False
2026-04-07 13:45:00+00:00,-1.2307158296345655,0.5231252036186491,0.5955333164447673,0.7608293744350996,0.005231252036186491,0.005955333164447673,0.007608293744350995,29.377101775115545,33.44331859113342,42.725836590681546,2.3537408319949913,2.038566525478391,2.0450947034303746,2.0450947034303746,False,False,False,13,Tuesday,False
2026-04-07 13:50:00+00:00,3.426016381760345,0.0010354592420314282,0.4237254521640596,0.330550177429254,1.0354592420314281e-05,0.0042372545216405955,0.0033055017742925404,0.05814820491676432,23.795117587193758,18.562680859094282,342.60163817603774,8.007357763926942,10.090563293978878,10.090563293978878,True,False,False,13,Tuesday,False
2026-04-07 13:55:00+00:00,-0.0014611437661451398,0.7317075627700945,0.6637618162122829,0.5106976638256843,0.007317075627700944,0.006637618162122829,0.005106976638256842,41.09044525560403,37.27482119848035,28.679209379974196,1.1928054488319797,0.6728687345227559,0.4388427128718798,0.6728687345227559,False,False,False,13,Tuesday,False
