fix_time_utc,decision_time_utc,vol10_ann_pct_t6,spike_flag,suspicious_flag
2026-04-07 12:20:00+00:00,2026-04-07 12:19:54+00:00,32.14769046454731,False,False
2026-04-07 12:50:00+00:00,2026-04-07 12:49:54+00:00,17.735601323455263,True,True
2026-04-07 13:00:00+00:00,2026-04-07 12:59:54+00:00,22.66129251723547,False,False
2026-04-07 13:05:00+00:00,2026-04-07 13:04:54+00:00,29.08409013322373,False,False
2026-04-07 13:10:00+00:00,2026-04-07 13:09:54+00:00,11.963306435944185,False,False
2026-04-07 13:15:00+00:00,2026-04-07 13:14:54+00:00,203.4241996142403,False,False
2026-04-07 13:20:00+00:00,2026-04-07 13:19:54+00:00,4.253358059637172,False,False
2026-04-07 13:25:00+00:00,2026-04-07 13:24:54+00:00,0.0546560664419486,True,False
2026-04-07 13:30:00+00:00,2026-04-07 13:29:54+00:00,0.04654884369711905,True,False
2026-04-07 13:35:00+00:00,2026-04-07 13:34:54+00:00,44.11340239717664,True,True
2026-04-07 13:40:00+00:00,2026-04-07 13:39:54+00:00,11.604839793963095,True,False
2026-04-07 13:45:00+00:00,2026-04-07 13:44:54+00:00,42.322012426583186,False,False
2026-04-07 13:50:00+00:00,2026-04-07 13:49:54+00:00,23.78769740341304,True,False
2026-04-07 13:55:00+00:00,2026-04-07 13:54:54+00:00,1.7176787316965183,False,False
2026-04-07 14:00:00+00:00,2026-04-07 13:59:54+00:00,8.876064346264432,False,False
2026-04-07 14:05:00+00:00,2026-04-07 14:04:54+00:00,36.827679247153014,False,False
2026-04-07 14:10:00+00:00,2026-04-07 14:09:54+00:00,48.59629538657004,False,False
2026-04-07 14:15:00+00:00,2026-04-07 14:14:54+00:00,17.703408877837358,False,False
2026-04-07 14:20:00+00:00,2026-04-07 14:19:54+00:00,43.24099162399635,True,False
2026-04-07 14:25:00+00:00,2026-04-07 14:24:54+00:00,61.04460336206877,False,False
2026-04-07 14:30:00+00:00,2026-04-07 14:29:54+00:00,33.3849438714468,False,False
2026-04-07 14:35:00+00:00,2026-04-07 14:34:54+00:00,34.04938597522491,False,False
2026-04-07 14:45:00+00:00,2026-04-07 14:44:54+00:00,25.66342837979948,False,False
2026-04-07 14:50:00+00:00,2026-04-07 14:49:54+00:00,0.060822406351851856,False,False
2026-04-07 14:55:00+00:00,2026-04-07 14:54:54+00:00,21.47123650048337,True,False
2026-04-07 15:00:00+00:00,2026-04-07 14:59:54+00:00,21.851033892181913,False,False
2026-04-07 15:05:00+00:00,2026-04-07 15:04:54+00:00,14.638414328286586,True,False
2026-04-07 15:10:00+00:00,2026-04-07 15:09:54+00:00,35.09024939181458,True,False
2026-04-07 15:15:00+00:00,2026-04-07 15:14:54+00:00,29.174369811350072,False,False
2026-04-07 15:20:00+00:00,2026-04-07 15:19:54+00:00,25.425655348102126,False,False
2026-04-07 15:25:00+00:00,2026-04-07 15:24:54+00:00,0.05502505354795768,False,False
2026-04-07 15:30:00+00:00,2026-04-07 15:29:54+00:00,32.92707550963178,False,False
