fix_time_utc,fix_ret_1s_bp,z5,z10,z20,zmax,spike_flag,reversal_2s,suspicious_flag,hour_utc,dow,is_weekend,t_ms,realized_volatility_10m_bp,volume_10m,trades_10m,volatility_quartile,volatility_decile
2026-04-07 12:20:00+00:00,-1.953921845684384,3.916343389554157,3.140698227782328,2.9788100509091446,3.140698227782328,False,False,False,12,Tuesday,False,1775564400000,7.510250631672444,87.51522000000011,32119.0,Q4 High,D9
2026-04-07 12:50:00+00:00,0.998874290011802,99.88742900116324,3.478488807048024,4.695689621678521,4.695689621678521,True,True,True,12,Tuesday,False,1775566200000,4.383321474481969,68.11717000000012,17694.0,Q2 Med-Low,D5
2026-04-07 13:00:00+00:00,1.1550361122467774,115.5328543319212,2.483228918259056,3.6491486314542856,3.6491486314542856,False,True,False,13,Tuesday,False,1775566800000,10.130176033027992,138.39276000000012,32565.0,Q4 High,D10
2026-04-07 13:05:00+00:00,0.0,0.4505786002861859,0.5986005062835406,0.0180591154552425,0.5986005062835406,False,False,False,13,Tuesday,False,1775567100000,6.728795773624782,120.0622100000001,26963.0,Q3 Med-High,D8
2026-04-07 13:10:00+00:00,0.0014581194920908,0.4494846205410742,0.3190824232251731,0.2964921125946532,0.3190824232251731,False,True,False,13,Tuesday,False,1775567400000,6.180107342064268,152.26587000000012,23617.0,Q3 Med-High,D8
2026-04-07 13:15:00+00:00,0.0,0.4438747005239525,0.2936232818925809,0.2895760573857622,0.2936232818925809,False,False,False,13,Tuesday,False,1775567700000,5.427752435643706,179.78051000000013,26075.0,Q3 Med-High,D7
2026-04-07 13:20:00+00:00,-0.0014593851992626,0.145938519929915,0.1605323719225202,0.3721061198937044,0.3721061198937044,False,True,False,13,Tuesday,False,1775568000000,4.987336584763885,108.40763000000011,20567.0,Q3 Med-High,D6
2026-04-07 13:25:00+00:00,-1.9710736969426708,197.1365679105128,197.1219688023902,197.1146692483289,197.1219688023902,True,False,False,13,Tuesday,False,1775568300000,4.569731608346365,97.8197100000001,14342.0,Q2 Med-Low,D5
2026-04-07 13:30:00+00:00,5.897627864802695,149.38365568426627,211.9998404142557,300.15849934859324,300.15849934859324,True,False,False,13,Tuesday,False,1775568600000,3.7455221379253425,99.50973000000012,19516.0,Q2 Med-Low,D4
2026-04-07 13:35:00+00:00,-4.30096781328211,31.9065989536299,43.57809234760578,6.7758888939114605,43.57809234760578,True,True,True,13,Tuesday,False,1775568900000,2.0378887736380236,103.4470600000001,37870.0,Q1 Low,D1
2026-04-07 13:40:00+00:00,-1.5426257875593588,3.60740112115928,4.343159230524844,1.9061813301280948,4.343159230524844,True,False,False,13,Tuesday,False,1775569200000,3.7784574442548378,191.54668000000012,51454.0,Q2 Med-Low,D4
2026-04-07 13:45:00+00:00,-1.2307158296345655,2.3537408319949917,2.038566525478391,2.0450947034303746,2.0450947034303746,False,False,False,13,Tuesday,False,1775569500000,5.339752070594603,186.0883100000001,48246.0,Q3 Med-High,D7
2026-04-07 13:50:00+00:00,3.426016381760345,342.60163817603774,8.007357763926942,10.090563293978878,10.090563293978878,True,False,False,13,Tuesday,False,1775569800000,6.313978761838056,149.92825000000013,43429.0,Q3 Med-High,D8
2026-04-07 13:55:00+00:00,-0.0014611437661451,1.1928054488319797,0.6728687345227559,0.4388427128718798,0.6728687345227559,False,False,False,13,Tuesday,False,1775570100000,6.664708138689364,145.05051000000012,40666.0,Q3 Med-High,D8
2026-04-07 14:00:00+00:00,1.1064578828545175,2.4248275615853663,2.8466322544339,2.7018421714892744,2.8466322544339,False,False,False,14,Tuesday,False,1775570400000,8.66116576751973,126.56136000000011,36365.0,Q4 High,D9
2026-04-07 14:05:00+00:00,0.0,0.4480694643803543,0.1564317911350372,0.0999639312421813,0.1564317911350372,False,False,False,14,Tuesday,False,1775570700000,7.149516530936585,189.99921000000012,44020.0,Q4 High,D8
2026-04-07 14:10:00+00:00,1.676857484597352,5.648279803020393,1.509510661361037,2.076253391309483,2.076253391309483,False,False,False,14,Tuesday,False,1775571000000,9.25088602522787,448.1242300000001,76964.0,Q4 High,D9
2026-04-07 14:15:00+00:00,-0.0014729329053186,0.1472932905134373,0.1620226195712613,0.1195692599330651,0.1620226195712613,False,True,False,14,Tuesday,False,1775571300000,10.491028258061247,430.6774100000001,71983.0,Q4 High,D10
2026-04-07 14:20:00+00:00,1.3556914378638043,10.452014090310724,5.430508489254719,1.662863742410719,5.430508489254719,True,False,False,14,Tuesday,False,1775571600000,7.968435571336783,299.5613800000001,52858.0,Q4 High,D9
2026-04-07 14:25:00+00:00,0.0,0.5744643730726038,0.4154230904893301,0.3718762088112186,0.4154230904893301,False,False,False,14,Tuesday,False,1775571900000,9.883329215697119,409.4091300000001,66448.0,Q4 High,D10
2026-04-07 14:30:00+00:00,0.0,0.4536267633871345,0.3396656013673303,0.241563029183334,0.3396656013673303,False,False,False,14,Tuesday,False,1775572200000,10.575923925837353,299.0902800000001,61066.0,Q4 High,D10
2026-04-07 14:35:00+00:00,0.3831569771860011,0.781504263316605,1.1755175680340433,1.0520628767513245,1.1755175680340433,False,False,False,14,Tuesday,False,1775572500000,11.44380023470828,172.07469000000012,48894.0,Q4 High,D10
2026-04-07 14:45:00+00:00,0.0014705965607516,0.7328762762152681,0.7600577552081766,0.4148155442818601,0.7600577552081766,False,False,False,14,Tuesday,False,1775573100000,5.059087376924886,93.74384000000012,34892.0,Q3 Med-High,D6
2026-04-07 14:50:00+00:00,1.24210452601445,2.558529706838037,2.6760617776852618,3.093820032012328,3.093820032012328,False,False,False,14,Tuesday,False,1775573400000,6.366720954673923,106.72298000000012,37377.0,Q3 Med-High,D8
2026-04-07 14:55:00+00:00,-2.3813979418190283,238.1691906582918,6.784699183351095,7.819169699245059,7.819169699245059,True,False,False,14,Tuesday,False,1775573700000,6.8132450803866424,92.55316000000012,33367.0,Q4 High,D8
2026-04-07 15:00:00+00:00,-0.5423038246705416,0.3085470734855808,0.8664945817477039,0.8914615100327027,0.8914615100327027,False,True,False,15,Tuesday,False,1775574000000,4.763008772640672,129.61446000000012,32403.0,Q3 Med-High,D6
2026-04-07 15:05:00+00:00,-2.503202130138633,250.2907499335381,13.988361301928114,7.960263914602873,13.988361301928114,True,False,False,15,Tuesday,False,1775574300000,6.7462681119924275,244.83301000000012,43389.0,Q3 Med-High,D8
2026-04-07 15:10:00+00:00,4.475910244577769,5.964069589950722,8.126406640089767,7.354927213712249,8.126406640089767,True,False,False,15,Tuesday,False,1775574600000,7.041167302326174,334.2235200000001,45374.0,Q4 High,D8
2026-04-07 15:15:00+00:00,0.5022806266465482,0.285910597340957,0.3045963346858938,0.576362311713978,0.576362311713978,False,False,False,15,Tuesday,False,1775574900000,9.982899728716863,300.0596500000001,42388.0,Q4 High,D10
2026-04-07 15:20:00+00:00,-0.6377946532632514,1.5186224351902748,2.467541042586511,1.5917732843832872,2.467541042586511,False,False,False,15,Tuesday,False,1775575200000,11.086141805415291,203.10670000000013,47586.0,Q4 High,D10
2026-04-07 15:25:00+00:00,0.0,0.4472126426714058,0.3162265683737958,0.3674003915396255,0.3674003915396255,False,False,False,15,Tuesday,False,1775575500000,5.815070865110514,151.2077200000001,43783.0,Q3 Med-High,D7
2026-04-07 15:30:00+00:00,0.0014665086446801,0.9905048429339428,0.1614214845931556,0.1235075323652053,0.1614214845931556,False,False,False,15,Tuesday,False,1775575800000,4.674690889849435,198.54813000000013,32007.0,Q3 Med-High,D6
2026-04-07 15:35:00+00:00,-0.3007829232995568,2.710739895219517,3.516172102127974,0.2562299324616252,3.516172102127974,False,False,False,15,Tuesday,False,1775576100000,3.8952006959367855,201.91929000000013,33092.0,Q2 Med-Low,D4
2026-04-07 15:40:00+00:00,0.0,0.8087714269418924,0.5444438625232192,0.4108498231413974,0.5444438625232192,False,False,False,15,Tuesday,False,1775576400000,4.266155317619777,134.12494000000012,34552.0,Q2 Med-Low,D5
2026-04-07 15:45:00+00:00,0.0,0.5049675716537112,0.4624450660091989,0.4562597448070944,0.4624450660091989,False,False,False,15,Tuesday,False,1775576700000,4.312411040317091,106.3822100000001,28680.0,Q2 Med-Low,D5
2026-04-07 15:50:00+00:00,0.1188950423194706,0.2091922742107055,0.0202814450111527,0.1936439941500565,0.1936439941500565,False,False,False,15,Tuesday,False,1775577000000,4.31226217176865,83.41242000000011,21871.0,Q2 Med-Low,D5
2026-04-07 15:55:00+00:00,-0.0014669640778971,0.4720081874831196,0.5513111660553685,0.0317691893894442,0.5513111660553685,False,False,False,15,Tuesday,False,1775577300000,3.597524741573607,113.24991000000011,28684.0,Q2 Med-Low,D3
2026-04-07 16:00:00+00:00,0.0,0.1126333279812416,0.135595592018561,0.0385204814287756,0.135595592018561,False,False,False,16,Tuesday,False,1775577600000,2.2135490011313155,109.37436000000012,29071.0,Q1 Low,D1
2026-04-07 16:05:00+00:00,-2.2864429777460225,8.386565689848167,12.182390070378409,5.505918545857089,12.182390070378409,True,False,False,16,Tuesday,False,1775577900000,8.29095163235127,142.5510400000001,48315.0,Q4 High,D9
